,text
152,@pourkhorsandi @Daaghaan اکومولیتیو اینترنت یه مورگیج خوب ۲۵ ساله تو کانادا نزدیکه ۶۰ درصده!
153,"RT @Hadis6104L: بچه ها...
بیاید فقط به پسرا اعتماد کنیم،هر کاری که تو آینده کردن تنها کاری که اکسوالاشون انجام میدن فقط حمایت کردنه
وقتی جو…"
154,@jinhitletgo آبیه دست مینگی و یونهوعه :]
155,"RT @mhrezaa2c: شاباتتون عجب شالومی شد
بندر اسدود در اتش موشکهای مقاومت میسوزد
#زندگی_سگی_اسرائیلیها https://t.co/wHdBIM9iL9"
156,"RT @Iran_Filmmaker: #رشتو

حضرت آیت الله #رئیسی
آقای دکتر #سعید_محمد 
آقای دکتر #سعید_جلیلی 

سلام علیکم
به #مسعود_فراستی توجه ویژه داشته ب…"
157,@miladsatan666 من با اون خاطره دارم 😔
158,"@ali_naghdi81 @haj_naghi @alirezaabbasi0 @AbolfazlRastgar چقدر جالبه پس بنظرم نیاد بهتره 
چه اون زمان که روحانی وعد… https://t.co/lNBtinqLRe"
159,"@apps52010094 برام بازش نمیکنه اینجوری 
میشه آیدیشو بهم بگی؟"
160,"RT @hoseinhajian135: حالا که آقای رئیسی اومد میترسم بعضیا که دوره قبل به روحانی رأی دادن ، از سر لج به رئیسی رأی ندن🤦🤦

#رئیسی_متشکریم"
161,@behi_17 همه عالمو خبر ندارم ولی من تا حدودی هستم😉
162,"انتخابات برگ زرینی از حماسه مردم در تاریخ ایران اسلامی است

#رئیسی_متشکریم"
163,@theycallmearta نبابا برابری حقوق سرم میشه😂😓🚶🏻‍♀️
164,فرو نرو تر از رئیسی فقط این عزت صرغامی دیوث
165,"RT @jnikimaleki: سید محرومان #برای_مردم و پیشرفت کشور آمد

جبهه‌ی انقلاب به صورت یکپارچه از او پشتیبانی خواهد کرد تا #دولت_سوم_روحانی در نط…"
166,@Meysaam6 @MohamadOlia می تونی نرخ ابتلا به کرونا رو در زمان  تو دو تا کشور انگلیس و آمریکا نگاه کنی. اینجا:… https://t.co/lpn9DLtBb4
167,@chegu6772 @anahidShahriari @Re0_oza @_oket @alilarijani_ir همینجوریش هم به حضرت آقا میگید دیکتاتور!اگه جلوی برجامو… https://t.co/iKIkwUYUD8
168,@RNaeen @meysam52863848 @meysam_bahrami توهین به شخصیت سیاسی رواست، این اصل اول آزادی بیانه، من اکر‌به شما توهین کن… https://t.co/hZJj71u65v
169,RT @PMOIRAN: 🔴واشینگتن پست: اسناد به سرقت رفته نشان داد رژیم #ایران در سال۲۰۰۳ به‌دنبال دستیابی به سلاح #هسته‌یی بوده است https://t.co/A6Wv…
170,"@samira11013 @S1LPFRhQxZeTPFr @BTS_twt ریپ یا ریت میکنید؟! هرکدوم خودش یخ رای محسوب میشه🥲🤷🏻‍♀️
آرمی لطفا کوتاهی نکن… https://t.co/ya9JrjvtXK"
171,@ashimashi84 @H_Hoseini_Panah از فردوسیه؟ ؟
172,"#فوری 

خبرنگار “الاتجاه” در بیروت: تظاهرات گسترده امروز در منطقه مارون الراس ، برای همبستگی با مردم فلسطین"
173,مطمئنا با حرف هایی که تو کنفرانس قبل بازی زد و پاکسازی هاش خیلی ها برنامه تخریبش رو شروع میکنن ولی این دفه کور خوند… https://t.co/Hp2kF4K3gM
174,"RT @mohammadjan63: اِلهى عَظُمَ الْبَلاءُ وَ بَرِحَ الْخَفآءُ وَ انْکَشَفَ الْغِطآءُ...
بلا و مصائب ما بزرگ شده و بیچارگی ما بسی روشن و پرد…"
175,"RT @reale_xiu_o: لیست دهم👇
@tate21415622 
@Paniiiexol 
@Pli9v2a0fXgZndW 
@nastaran_l 
@nastaran_do 
@nastaran_el 
@nastaran_ln 
@nastaran_l…"
176,"تو این مملکت یه سِری هستن که سر کارن بقیه 
هم علافِ اونایی که سر کارن!!!"
177,@Mohammad1379313 نمیدونم نه فالو کردم و نه آنفالو نمیدونم چرا اینجوری میشه
178,@farzaneghezavat خدا کنه😍
179,"RT @H_homafar: هر خانه یک ستاد
برای مبارزه با فساد⁦✌🏻⁩⁦🇮🇷⁩

#دولت_ضدفساد https://t.co/PxkPTlUHPP"
180,"@Sistahoran الویز یو میمیرم براشش
این دوتا برام اهنگای تاپ لویی‌ان:))))
I vote #Louies for #BestFanArmy at #iHeartAwards"
181,@Irib4Twit لاریجانی... مابقی شوتند از ماجرا...هر کدوم هم بیان اول باید برن توافق کنن هم هسته ای هم موشکی رو بدن بره… https://t.co/JjGgYdU2E3
182,RT @baek_aida_Hyuni: ولی من اونیم که علاوه بر دوستام به کسی که فالوم نکرده یا بلاک انبلاکم کرده و یا با یه اکانت دیگش امکان داره بلاکم‌ کرد…
183,RT @khatkhatiiiii: هوادار، چه فقیر و چه وزیر روی چشم پیروانی جا دارن ولی هیچوقت عکس فقیر رو استوری نکرده. وقتی تو خیابون بدون اینکه بپرسن آ…
184,@pashmaki_hastam @nazaniinn_ من خودمم گه گاه میکشم حتی و‌حالم از خودم ثانیه ایی بعد بهم میخوره:))))))))
185,RT @payamhojjati: در پاسخ به درخواست فروش املاک دانشگاه آزاد میگن اونها برای روز مباداست، کدام روز مباداتر از وضعیت معیشتی امروز کارکنان ای…
186,RT @Mimalamjz: به شدت تحت ریپورت هستم، حلالم کنید رفقا 🥺
187,@ftmense کیوتمه :)
188,RT @itsmezahrach: خواب دیدم رامبد جوان رفته طناز طباطباییو گرفته! ایشالا که خیره😐
189,RT @mike_nelsson: @ARDESHIR003 همشون هم از تریبون شبکه های انگلیسی بیانیه میدن #آیت_الله_بی_بی_سی و #آیت_الله_ایران_اینترنشنال
190,@shaidelrey عههه توعم شاینایی یا گلنازی؟
191,"چـنین اسـت، رسـم ِ سـرای سـپنج
گهی ناز و نوش و گهی درد و رنج

٢۵ اردیبهشت،  روز بزرگداشت پیر خردمند پارسی، عالیجناب… https://t.co/I0wvfBFIT0"
192,با صراحت میگم ملت خرو شناختن دیگه به خرها رای نمیدن حالا هی پالونشو عوض کنید
193,RT @mrymabbasi__: اکانت دومم برا رای گیریه میشه فالو کنین https://t.co/xkLbMiGGKY
194,"RT @mahak_n_s: خیال مان با آمدنت آسوده گشت. به امید پیروزی و ریشه کن کردن ظلم و فساد 

#رئیسی_متشکریم https://t.co/7SIkNGTFOm"
195,"RT @_exokingdom: بعد از هر کامبک اکسو بر کیپاپ چه میگذرد‌ ؟

@layzhang @weareoneEXO @B_hundred_Hyun #EXO https://t.co/2RPh1GobuG"
196,RT @syjebraily: آمده‌ام تا با کمک همه مردم ایران، و در طلیعه گام دوم، دولتی مردمی برای ایرانی قوی تشکیل دهم؛ دولتی که ارکان و مسئولیتهای اص…
197,@zizirahimi خیییلی قشنگ بود دیشب
198,"RT @Alighazizade: حسن روحانی:
«ما مسئولان هم عین مردم به نوبت واکسن می‌زنیم.»

شما عنبرنسای الاغ را هم عادلانه توزیع نمی‌کنید، چه رسد به وا…"
199,@AhmadRezzaeii @sabaazarpeik مرسی از همکاری
200,@ARASh_______ با عشق من کار نداشته باش😂😂😂
201,RT @samanfarhani73: امروز مامانم واسم ماهي درست كرد فرستاد سركارم دمشگرم ك عشق منه و از همينجا اعلام ميكنم ننه جوووون تولدت مبارك فدات بشم…
202,"حالا دیدین همه چی شوعاف بود!

#هوایی"
203,بزنید کانال ۴ 😍
204,@ShitsGetsWeird منو ببینننننن https://t.co/y9iSZsUd67
205,با گاااا تین خیلی بیشتر حال کردم و قراره از فردا دایرکتشونو با عکسام پاره کنم.
206,RT @jertaan: میشه یکی بیاد بگه دقیقا چی میگه این؟ https://t.co/E2IgcDvAQa
207,@I_midoonam @ali_bitarafan4 پس ان‌شاءالله که علی بیطرفان پیش‌بینی‌هاش درست باشه🤲😅
208,RT @Amanj_emw: باگ رستوران ها اینه که هنوز برای گزینه های پرداخت پول غذا ظرف شستن و تی کشیدن رستوران اضافه نشده
209,"RT @EhsanPersian1: اولین روز بعد از ماه رمضون و وضعیت مشتریا در مغازه
 حالا اینو در نظر بگیرید صاب کارمم هی داره غر میزنه! https://t.co/uic…"
210,با اجازه تون اسم تمام کاندیداهای موردنظر رو میوت کردم.
211,@gelan22ss12 من فقط یه شامی میشناسم که غذاست
212,RT @AmmarMaleki: برطبق نظرسنجی #گمان، پایگاه اجتماعی اصلاحطلبان ۸٪ و پایگاه اجتماعی اصولگرایان ۱۳٪ است (ایسپا پایگاه هر یک را حدود ۹٪ و موس…
