,text
2099,"RT @BARANDAAZ_NEWS: #فوری
ارتش اسرائیل لحظاتی پیش اعلام کرد:
گروه تروریستی حماس مناطق مسکونی در نوار غزه را به سنگرهای نظامی تبدیل کرده.…"
2100,۱۲۰۰ دکتر مصری تصمیم گرفته‌اند برای مداوای زخمی‌های حملات اسراییل به غزه بروند.
2101,"@Elham__es عیبش اینه که فقط برای خودنمایی ثبت نام کردند.
اگر دولت قوانین کشور رو تمکین نمیکنه دلیل نمشه روحانیِ دین… https://t.co/F0pnisQszg"
2102,@jeon_taekooki تا اینجا فقط و فقط رو ی نفر کراش داشتم و دارم که ایشونه https://t.co/OUtIbVvOJb
2103,@AKeykhaii آیدا جان چیزهایی که گفتی همه جزو روش های cognitive therapy هست و نمیدونم روانشناس بهت یاد داده یا خودت خ… https://t.co/aphyWqxqS5
2104,@Firouzeh_ دو دقیقه دیگه باش کلاس دارم https://t.co/wZ53fgPtfA
2105,@hamlet20002002 من كرج هستم،اگه ميشناسيد ممنون ميشم.
2106,@its_reza_ چاح چاح
2107,RT @TurkKhar: کاش می‌شد بخوابم، برای یک سال مثلا.
2108,"@shadow_girl_02 البته ما یه کم پیاز داغشو زیاد کردیم وگرنه بردن تیم سید ۳ آسیا زیاد خوشحالی نداره

یه چیزی تو مایه های گوا رو بردیم دیگه"
2109,"@elyas_ghanbari1 @MohammadVahidii وقتی معیارهای اصلح بودنت رو خوندم احساس کردم چندتا رو جا گذاشتی ::
هم نامهربونه… https://t.co/fkOjcBpsdi"
2110,"RT @s1s6455: در انتظار دولتی که به فکر معیشت مردم است.....
«قرار نبود که از درد مردم بی خبر باشیم قرار نبود که مردم در فشار های اقتصادی بی‌…"
2111,رژیم های توتالیتر هر زمان حمایت ملت را از دست دهند  مشروعیت ازیشان سلب میگردد. رژیم هایی مانند ج ا برای حیات به رای… https://t.co/5um92FQ9da
2112,"RT @Delvinam_1375: درود بر حامی محرومان و مظلومان که دعوت مردم را قبول کردند

#رئیسی_متشکریم"
2113,@lili_1378 @ZSedaght با عبور موفقیت آمیز از ایستگاه اقتصاد وفرهنگ، شگفتی دیگری را درکنار انقلاب و دفاع مقدس، رقم خو… https://t.co/njCxCQZMfL
2114,جهانگیری طوری از ساختن آینده حرف می زنه انگار نه انگار خودش در کنار روحانی هشت سال از عمر این مردم را به فنا دادن رفت...
2115,"RT @DrSaeedJalili: کشور بنگاه نیست که سرمایه های آن را به حراج گذاشت !

بلکه :
برای سرمایه های آن باید برنامه داشت.

نباید گذاشت راه حل های…"
2116,@DoroodianHamed @amin_taromi به خاکریز زد بنده خدا
2117,@nazdikam_nasho بیچاره زنم
2118,RT @raesi_org: من خود را رقیب فساد و اشرافی‌گری می‌دانم نه گروه و حزبهای سیاسی
2119,RT @mohsenlashgari3: تروخدا بعد جلیلی یکی بره در وزارت کشورو ببنده #قاليباف نیاد!
2120,"@Khanoomasadii68 https://t.co/F6Y86gXi4f

اولین توویت انتخاباتی بنده"
2121,@Don_Saeid سعید اخرش میگیرنت چون با هیچکس هم مهربون نبودی هیچ وقت پیدا نمیشی
2122,"اون هفته از عشق سالهای وبا فیواستار دراومد، الان از رومئو و ژولیت!
هفته دیگه یکی میگه کشتی ساختم حیوونا رو گذاشتم ت… https://t.co/vKsQX7xJc1"
2123,@sokhanran1 خطرناکه این ادم اعدام کرد 😩😤
2124,هر دوتا بسته‌هام قراره چهارشنبه برسن و ناراحتم. فرصت دو‌ روز هیجان‌زده بودن از دستم رفت :(
2125,@Daikanada میایم
2126,صبح با صدای گریه‌ی خودم بیدار شدم، هرچی فکر کردم یادم نیومد چه خوابی دیدم، اما سرعملم که بودم کاملا غیر‌ارادی و بدو… https://t.co/La1Gr1mXOE
2127,"RT @hamat24433982: آقایانی که این چند روز آمدند از فساد گفتند، ولی چرا سهم خودشان از این فساد و تبعیض را نگفتند؟
#آقامحسن_ایران 
#محسن_رضای…"
2128,"RT @vahidbasereh: تمام کاندیداها منتقد جدی وضع موجود هستن! خیلی هم ناراحتند! خیلی!
به خدا تقصیر ماست خودمون خبر نداریم!
چه کار‌کردیم با این…"
2129,@ssomdfaz جراحی یا اینکه در اومده بود کشیدی؟
2130,"RT @shaina1400: @hami__90 پیش به سوی سربلندی ایران
#رئیسی_متشکریم"
2131,@Money90094727 همچین مطالب وزین و پرمعنایی خوب زشته بدون ذکر منبع!!! دنیای علم میریزه بهم :)))
2132,"@sogandlsg اینجا نداریم
برو خونتون 😔🗡️"
2133,دوشه
2134,@hp_shabnam خداروشکر باز هوشیار شدیم اگر همچنان ادامه پیدا میکرد چی
2135,مصاحبه و پرسش و پاسخ دکتر سعید محمد را در یوتیوب دیدم.یه عده جوانک خام گاهی هم مشکوک به عوامل نسل چهارمی منافقین رو… https://t.co/7DS2kePHkl
2136,"RT @ali_bitarafan4: اینجا دیگه ماییم و تقوامون
طرفدار هرکی که هستیم
نظرمون قبلا هرچی که بوده
عقل و منطق میگه حالا که آقای رئیسی اومده باید…"
2137,RT @DybaKing: این عالی بوووود :))))))))))))))))) https://t.co/fKYH69pNML
2138,@DibiOfficial فرمانده فقط برای رد شدن از روشون اومده💪
2139,RT @mhrezaa2c: موشک در تلاویو
2140,"RT @Tessa_Loey: این داستان ادامه دارد...... 

@weareoneEXO @B_hundred_Hyun @layzhang https://t.co/dpOCVGEjJb"
2141,وای فقط سه روز واسه رای دادن وقت داریم؟ صححصجصجمسنطننص
2142,"RT @20nakisa: شرکت صدرا در سال 1376 موفق به اخذ گواهیـنامه  بین المللی ISO 14001: 2004 شد 

این شرکت در زمان مدیریت مهندس #رستم_قاسمی احیا…"
2143,RT @Mortaz1324: این مَرد جز من و توعه هوادار هیچکسو نداره نه پیشکسوتی ازش حمایت نه وزیر وزرا استوری براش میزارن کسی که با تموم وجودش استقلا…
2144,"@roshangarnasl @HamediEbrahim هر چی گفته خوب کرده گفته شما هم طلب ارث باباتو برو از خامنه ای بخواه
اجداد ما به پدر… https://t.co/9tO1DtRgiQ"
2145,"RT @ahmadamirabadi1: آقای لاریجانی نمی خواستم چیزی بنویسم اماخودت خواستی.
شماکه هرچی داری ازحضور در پادگان های پشت جبهه و مدیون دادگاههای ا…"
2146,@KuwaitPulseAli چنه شغلي كله قديم 😂✋🏻
2147,عید کا تیسرا دن مبارک https://t.co/ZLtG1jjpDV
2148,RT @samanehabibiii: ینی اسحاق چی بلد بود که به من یاد نیاد؟ https://t.co/slgCfKmLZ8
2149,@anahita____f من قربونت برم🥺❤️❤️❤️❤️❤️مرسیی
2150,@Emen43054466 خاطرات ما آرزوهای شماست
2151,مربای توت فرنگی>>>>
2152,@goomnam_118 تو درست نکردی 😂
2153,"RT @haj_kamal_1: ای پسر فاطمه حمایتت میکنیم. 

#رئیسی_متشکریم"
2154,"RT @ArmitaBeBe: دوست عزیزی که کاربر go5rae رو تو اینستا فالو نداری فقط خاستم در جریان باشی که چی رو داری از دست میدی 
@OfficialMonstaX @off…"
2155,"RT @navideazadi98: @Maryam_Rajavi_P بله نه می بخشیم و نه فراموش میکنیم 
قاتلین فرزندان مردم ایران و جنایتکارانی که ۴۲ سال در این کشور حاکمی…"
2156,"RT @sheydaalasvandi: بزرگترین چالش کنونی ما مسئله اقتصاد است و در میان نامزدهای احتمالی تنها متخصص اقتصاد، محسن رضایی می باشند، 
چرا اصرار…"
2157,@saeideh_m77 چون انسان بسیارشریفی هستم😐
2158,RT @seidrazi: اگر یک نفر در کشور از چکش و پادگان به‌صورت همزمان بهره برده باشد، آن فرد تنها علی لاریجانی است؛ او به وقتش هم لباس نظامی به ت…
2159,@ainmahdavi @Mohamadhossie15 اکبر بنده خدا تو اون دنیا داره جواب پس میده،،ایشون لطف کنه بره اونجا بهش یاری برسونه🙍
2160,@mahi_naseri چقد پول داری تووو😂😂
2161,@curlycameraguy روز خودش اگه جایی پخش کنن
2162,@mitrafarokhpour وضع حاضر نتیجه حماقت های مداوم شما و امثال شماست.
2163,@Ostad_khanoom اره من فقط نگاه میکنم🤦🏻‍♀️😂
2164,@ZarchiMohammad @elahe_1341 @ghadamyari_ir طرحی که 45 روز کمیسیون برجام توسط زاکانی و ...با کارشناسی جلیلی و ... ته… https://t.co/El1Z6VaMI4
2165,@Saminsl آره خوب
2166,RT @omid_dana: ده ها ویدیو از سرتاسر آمریکا و اروپا برایمان ارسال شده که میگن در ایران بزرگ نشدند و همیشه علیه نظام حرفهای بدی بهشان میگفتن…
2167,RT @goodbadatusa: 🔴 این هم روز آخر هفته کسانی که وطن و هموطنشان در چنگال بیگانگان تروریست  است...الان ساعت از ۱۵ گذشته و تا الان هشت ساعت ه…
2168,"RT @tired_erigom: خیلی خب بیاین براتون ادیت مرگ آوردم،سافت و هارد ،همرو ریختن تو هم :"") لایک و ریت یادتون نره... لطفا به هر ۹ تاش سر بزنین…"
2169,"RT @sozan_karimi: صحنه اصلی مبارزه  اقتصاد  تهدیدات ناشی از آن است.

#آقامحسن_ایران 
#اقدام_و_تحول 
#محسن_رضایی"
2170,"RT @lamy82l: I am voting #Louies for #BestFanArmy at the 
#iHeartAwards

به این فکر کنید که ما میتونیم لری رو ببنیم اگه ووت بدیم😃💙💚 https:/…"
2171,RT @elmira_sharifi: با این تعداد کاندیدا، مناظره ۲۴ ساعته باید ببینیم!
2172,RT @mohsenr36041568: @ahmadyo89039302 انتخاب باید بر اساس تقوا ، تجربه ، برنامه ، دانش و تخصص باشه بر این اساس مصلحت کشور در این است که #آق…
2173,RT @raesi_org: من خود را رقیب فساد و اشرافی‌گری می‌دانم نه گروه و حزبهای سیاسی
2174,"RT @jnikimaleki: ستاد مشترک #دولت_سوم_روحانی تشکیل شده؛ گزینه نهاییش هم معلوم است

نیروهای انقلابی نیز این بلوغ را دارد که #ستاد_مشترک_کاند…"
2175,@Bakhtar_Emrooz کاندیداهاشون از خاتمی به روحانی و از روحانی به لاریجانی تنزل پیدا کرد دور بعد هم جلیلیه احتمالا 😂
2176,"فیلم نسخه ضعیفی از پنجره پشتی هیچکاک بود با کمی تغییرات کارکتر
بازی امی ادامز خوب بود مثل همیشه و کمی هیجان در فیلم… https://t.co/z91KGVB0lk"
2177,RT @ozara3000: اصحاب ما میتوانیم #رئیسی_متشکریم https://t.co/zMLZnzgQd3
2178,@Saman15216939 خوش برگشتید جناب سامان عزیز.امیدواریم همیشه سلامت باشید😊🙏🏼🌸
2179,@VatanamIran14 برای مردمی کردن اقتصاد باید با نظام اقتصادي ليبرال و سوسياليستي مرزبندي روشن داشته باشیم.… https://t.co/LuGQGEaZsX
2180,"RT @MahdiNayebi7: اونی که شعار عدالت و مبارزه با آقازادگی و تبعیض رو در عمل نشون داد اومد.
کاری نکنید که شاهد دولت سوم روحانی باشیم.
 #رئیس…"
2181,"یاور مظلومان حمایتت میکنیم
#رئیسی_متشکریم"
2182,@AlefFateme2 البته کثافتای اصلاحات خیلی بیشتره
2183,@PersianWEEB_ حاجی این توییت ایستراگ داره=))))
2184,@Nooshyar خواهش می‌کنم بلندر. 😭
2185,"RT @FatemeMohebbi: فقط سه سالش بود ...
مرگ بر رژیم کودک کش اسرائیل https://t.co/CAc8mXj6RV"
2186,باشه اگه میشه گوه فوتبالی ها رو نخورید.
2187,"با حرف های رییسی بیشتر نام حاج قاسم از ذهنمان رد میشود.
#رئیسی_متشکریم"
2188,RT @raesi_org: بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند.
2189,RT @javadhatamiN: اگه رئیسی ثبت نام کنه رد صلاحیت دکتر احمدی نژاد حتمی
2190,@hosseinhd__ اگه خوب بود جاش بگو
2191,RT @meandmymeee: فازتون چیه به حرفای مجیدی میگید اعتراضی؟ من از وزیر و وکیل و هر سگی که تو این کشور مسئوله متنفرم ولی مجیدی اگه معترض بود و…
2192,@pouyakarimi64 تنها کسی که می‌تواند قشر ضعیف و آسیب پذیر جامعه رو از این وضعیت نجات دهد کسی جز محسن رضایی که خود از… https://t.co/7sOXw3Tye3
2193,RT @a_afshar135: اسرائیل جميل صفوري یکی از اعضای أبناء البلد رو دستگیر کرد
2194,"رسما از شما عذر خواهی می کنم
نیاز به فردا نیست
همین امروز"
2195,کف مطالبات رسیده به رقص و ساک زدن وسط خیابون و برداشتن روسری موقع رانندگی، کیرم تو روحیه براندازیتون.
2196,@mamaly9 چی شده؟
2197,@komeil7495 عهه، من اهنگ تو در مسافت بارانی شنیده بودم، فک کردم من دقت نکردم، 😅 مرسی
2198,@browneye_honey @Nazila_Army جوجو مویز خیلی وقته افول کرده به نظرم آثارش دیگه ارزش خوندن ندارن
2199,@n_watandost جنت جایش
2200,@AmirbahadorStt @arefwillarrive اخه جنده حرومی کص بابات که جاج فیس میکنی ولد کون
2201,"RT @vahidkm86: اسپیس معرفی و بررسی اکوسیستم استیبل کوین ها توسط مهدی صالحی عزیز @GreatSaoshyant
@GreatSaoshyant 
@GreatSaoshyant
یکشنبه ۲ خ…"
2202,امپراتور تپه ها و وعده ها، جهانگیری وارد میشود. https://t.co/ej6nLPWIKP
2203,"#استنلی_کوبریک

هر قدر هم تاریکی وسیع باشد؛
این ماییم
که باید روشنایی خود را تامین کنیم"
2204,@s_mojtaba313 خودم که مشهد تهرانم نمیدونم وقت تبلیغات کوجام😂😂
2205,@mori76a @fatiima_red آره دادا خیلی زیاد 😂😂
2206,RT @RadioGhermez: به خدا که این رای بیاره وضعیت کشور به مراتب بهتر میشه چون مسلما وابسته نیست، فقط واسه خودش یه گوشه کسخله https://t.co/BMo…
2207,"RT @Ali_raminfar: محسن رضایی:
شركت هاي بزرگ اقتصادي، مثل سازمان اقتصادي آستان قدس را بايد مردمي كرد.

#آقامحسن_ایران 
#اقدام_و_تحول 
#محسن_…"
2208,چه زیبا میگفت...‌
2209,"RT @esfandyar_26: #قالیباف نیامد و به نظرم هوشمندانه‌ترین تصمیم رو برخلاف آقای رئیسی گرفت !

در هرصورت :
#یا_احمدی_یا_هیچ_احدی 
#احمدي_نژاد…"
2210,"@sfcdfb5 آه که چقدر از نادانی ملت سواستفاده کردند این قوم جنایتکار.
هنوز هم پس از روشن شدن این قضایا هستند کسانی که… https://t.co/emtfGGhneU"
2211,ای فارس‌های مشروطه‌خواه فاشیست.
2212,@ghalamfarsa @PROpixel68_2 @this_is_iran @Alf_the_Frog حالا علت جاذبه نیست، بلکه حرکت مداوم سیارات و محتویات اونا ه… https://t.co/Len2HoIXBO
2213,@AmirbahadorStt @arefwillarrive بجای جاج فیس برو درستو بخون کنکور رو قبول شی...سن خر نوح رو داری حرومی https://t.co/GziRcXKhG1
2214,@hdsgolsha @Hossein_7394 خب شماهم تا حالا با دختر امتحان نکردی مطمئنی همجنسگرا نیستی؟؟😐 این چه استدلاله مسخره ایه… https://t.co/d7rk7kTpZX
2215,"@nmidooonm بنظرم خيلي سبك شروع كردى😂😂😂
حداقل ٢ كيلويي ميگرفتي لعنتي نيم كيلو شونه سرتو بلند كني همون ميشه😂😂🤦🏻‍♂️"
2216,@3SaSha4 پیرمرد فکرشو نمی‌کرد 🙂
2217,"@namednegin مدل ۹۹ش حدود ۲۹۰ عه
ولی چک کن نمایندگی مدیران خودرو یسر بزن
شرایطی میدن
اینارو کسی نقدی نمیخره
یا مدل ۹… https://t.co/CoTXb6k2Fq"
2218,@SRamezani1300 هرچی قرعه آسون تر بهتر
2219,سو یونمین شیپرها بیان این زیر منشن بزارن
2220,@Mr_mazlomam بشیکتاش قهرمان میشه دلتونو صابون نزنین 😁
2221,"RT @noorshid: مرکز خرید ایران‌مال واکسن می‌زنه از متولدین ۱۳۳۰، نوبت‌دهی منظم داره و پارکینگ
تقریبا هر ۳ ثانیه یک نفر شماره‌اش خونده میشه.…"
2222,"ميگفت پسرم پرواز واسه كفترِ جلد يه خوشي مُضحكه
بهش آب و دون بدي خداش تويي"
2223,"RT @saeedd771: استقلالیا تا دارید شکایت میکنید از عیسی
ازینم شکایت کنید
بی ادبه
!!!!! https://t.co/jWClU0spHc"
2224,RT @edalatbanki: مرکز واکسیناسیون #ایرانمال با ۱۰۰ صندلی برای تزریق #واکسن_کرونا با حضور فرمانده بسیج افتتاح شد! با مشارکت بنیاد تات! دوزار…
2225,"RT @_imexol_osh: @Narges_CB1485 @weareoneEXO @B_hundred_Hyun @layzhang اس ام ریده
خاک تو سرش کنن
والا نمیذونم چه گوهی داره میخوره
@weareone…"
2226,از ۱۰ سال کار کردن زانیار ۶ سال ممنوع الکارش کردین خب چرا ازش نمیکشین بیرون لنتیا 😑🤷🏼
2227,"RT @AliReza9119: حالا کامل شد.
انقلاب اسلامی‌مان را از دست نااهلان و نامحرمان پس خواهیم گرفت....
#جلیلی
#رئيسی"
2228,"RT @parviz_narooyi: ابراهیم رئیسی حامی ایران مرد عمل وارد صحنه انتخابات شد 
#رئیسی_متشکریم https://t.co/NlUBKo7kFb"
2229,کپشن با شما https://t.co/ypqB6GWKdG
2230,@hnrez_ از دل برود هرانکه از دیده رود🚶‍♂️
2231,دلم برای روزایی که کرونا نبود تنگ شده
2232,"@amir__master عام خب 
شما به جاش میتونید گیساشو بکشید"
2233,"@ChbjYasna بخدا خودم باید میبودم سوژه در می آوردم 
حیییف حییف"
2234,@USepehrA چقدر خوب گفتی. مرگ بر ظلم. واقعا همینقدر از چیزای ساده محرومیم. جدی میترسم بمیرم و نتونم موتور برونم.
2235,@AlrzHa حق گو شده ای سید
2236,@mhabedinpour از مک؟ بابا نه :)))
2237,آقای نتانیاهو اگه به جای واکسن کرونا به فلسطینی‌ها آمپول هوا می‌زدی الان این‌همه دردسر نداشتی.
2238,@ravenheart___ خیلیی ممنووون ❤️🥰
2239,ترانه دلنشین... https://t.co/JxskegcqKj
2240,"RT @Ali_raminfar: محسن رضایی:
شركت هاي بزرگ اقتصادي، مثل سازمان اقتصادي آستان قدس را بايد مردمي كرد.

#آقامحسن_ایران 
#اقدام_و_تحول 
#محسن_…"
2241,"RT @itsOntheroad: درد و سوزشی که وقتی پوست کنار ناخن بلند میشه ایجاد میشه >>> زخم شمشیر
@weareoneEXO #EXO
@B_hundred_Hyun @layzhang https:/…"
2242,@zhra_sh78 ‌منشنی دیگر 😊
2243,"RT @bamari88: لاریجانی و جهانگیری آمدند؛
سلام بر دلار ۲۰۰ هزار تومانی ..."
2244,"RT @mehrshad_twt: ترکیب تیم مناظره ای رئیسی ، جلیلی ، محمد و زکانی هر کوهی متلاشی میکنی.
#سلام_بر_ابراهیم"
2245,قاعدتا باید تکراری و نخ‌نما باشه.
2246,@mehrizhe خوشمزه میشه خیلی. فقط مثل بادمجون ترشی خیلی سرکه میره به خوردش.
2247,"چو ايران نباشد تن من مباد
بدين بوم و بر زنده يک تن مباد 
بيا تا همه تن به کشتن دهيم
مبادا که کشور به دشمن دهيم 
دري… https://t.co/IqlIr2X0Gj"
2248,"RT @C_crucio_: امیدوارم صدای زحه هامو بشنوید؛)))))

.@Stray_Kids https://t.co/N62rpyesEm"
2249,"@buzziban این تبلیغاتم تایم لاین من نیاد 
مرسی اَه
😁😁"
2250,@fatiima_red @SorkhLand تو میگی الهه ، میگم کیه؟
2251,بيشترين جايي كه احساس ضعف كردم تو زندگيم جايي بود كه احساسم به منطق و عقلم غلبه كرد و با اختلاف خيلي كم فهميدم كه ب… https://t.co/3200d47fuF
2252,یه یکی از ادمای تخمی کلاس ریدم و گفتم همیشه اویزون و طلبکار این و اونی، از اون روز به بعد جدی داره تلاش می‌کنه و سر… https://t.co/kT60G7GRy5
2253,@ZzaAire نه اینجوری نمیخوام ببعی نیستن :((
2254,RT @maedehahmadi69: وضعیت امروز معیشت مُلک و ملت بیش از فیلسوف و حقوقدان به اقتصاددان نیاز دارد، آن هم اقتصاددانی که میدان داری کرده باشد.…
2255,@dorraj_mhrad @SH_Nassrulah اره رهبر مسلمین جهان و حومه رو فقط یادت نره
2256,@Jk81064411 @_only_meee @BTS_twt عرررنسمشم چ قشنگه
2257,RT @PMOIRAN: 🔴اعتصاب نیروهای خدماتی شهرکهای صنعتی #آبادان و #خرمشهر، اعتراض کشاورز #اصفهانی، کشاورزان روستای پرلوک #همدان وکارگران شهرداری…
2258,RT @kh_ahmadiii: با اومدن آقای رئیسی یاد داستان حضرت یوسف و مصر می افتم، ان شاالله بعد تجربه سخت و دشوار ۸ ساله روحانی، با ایشون 8 سال آسای…
2259,RT @SorenaNoshad: @ramtin5790asli میزان مهمات لازم رو محاسبه میکنند و به نقاط مشخصی میزنن تا فرو ریختنش باعث آسیب بقیه نشه.شبیه پیمانکارهای…
2260,"RT @negin_xoxo_6104: حس میکنم نباشم کسی نبودمو حس نمیکنه..همینقد غم انگیز
بایساام
*در هر شرایطی برای بایس هایش چسناله میکند.
@layzhang @wea…"
2261,RT @Abdol_Abdollahi: یکی از دلایل عمده بی عملی و بی تفاوتی حاکم بر دستگاه اداری کشور این است که مسئولین دولت درکی از مشکلات مردم ندارند، با…
2262,"@NimaHidari «مردم» حلقه مفقوده توسعه کشور هستند.
#آقامحسن_ایران 
#اقدام_و_تحول 
#محسن_رضایی"
2263,"RT @mohadesefa: مرد اقدام و تحول  از هیچ تلاش و تکاپویی برای حل مشکلات اقشار ضعیف و آسیب پذیر فروگذار نخواهد کرد.
#اقدام_و_تحول
#آقامحسن_ای…"
2264,"RT @famil2r: همین پایی که جلیلی نداره اندازه ۴ پا درست حسابی هزینه‌ش شده!
تازه هم ضد گلوله‌ست هم تو مذاکرات میشه ازش استفاده کرد"
2265,"@SaberiAkram با محسن رضایی میتوان هم انقلاب و معیشت مردم را نجات داد
#آقامحسن_ایران 
#محسن_رضایی
#اقدام_و_تحول"
2266,"@Bakhtiy00 @NimaHidari «مردم» حلقه مفقوده توسعه کشور هستند.
#آقامحسن_ایران 
#اقدام_و_تحول 
#محسن_رضایی"
2267,"همه هم که به انتخابات امیدوارید 
فقط منم که میترسم واسه لاریجانی رای جمع کنن؟"
2268,"RT @shamloo1515: من بار ها در خیالم
وحتی زمانی که از من دور بودی
بوسیدمت
#ترانه_شاملو"
2269,@HosseinDalirian من خود کلاب هاوسم ندارم
2270,@sobhan_70 جونم به سید ....
2271,آدمای عقده ای همه جا هستن😐
2272,"RT @pouyakarimi64: مرد اقدام و تحول  از هیچ تلاش و تکاپویی برای حل مشکلات اقشار ضعیف و آسیب پذیر فروگذار نخواهد کرد.
#اقدام_و_تحول
#محسن_رض…"
2273,"جولانگه ابلیس دگر مهد گهر نیست
هست بیشه ی شیران و دلیران خراسان
#رئیسی_متشکریم
#ما_منتظر_انتخاباتیم"
2274,@iguessmahtab جانم کاری داشتی؟😁
2275,خیلی درد داره
2276,"@fairyxeri قلبم💔
زیبایی که هنوززززز نمیتونم قبول کنم بین‌ ما نیست
DON'T FIGHT THE FEELING
#엑소 #EXO #weareoneEXO… https://t.co/yX1Zbbsgza"
2277,"RT @Mehdi___nasiri: مردم شریف ایران تنها سرمایه ما حماقت شماست...
#جهانگیری https://t.co/rWRAZ5T9ex"
2278,@smallpartisan خیلیییی😒
2279,@Shazam_111 قبل مهدی رسیدم ایول
2280,RT @Poete_faillite: عشق و عاشقی و اینا خوبه ولی من الان دلم کارای خاک بر سری می خواد. https://t.co/3mSX2jpivP
2281,@MahyarMotalebi ای کاش واسه کشورای دیگه هم تکذیب کننده پیدا بشه،واسه ما خوبیت نداره:))
2282,@mozhdehpourmand برای رهبری
2283,"RT @najahmalii: ⭕️ برج مقابل برج⭕

شهرک‌نشینان صهیونیست ویدئویی را منتشر کرده‌اند که نشان می‌دهد در پی حملات موشکی مقاومت، در یکی از برج‌ها…"
2284,"RT @A_raefipur: #رشتو
سوال: چرا این دوره بسیاری از رجال و سیاستمداران کاندیدای ریاست جمهوری شده اند؟
پاسخ: انگیزه ها متفاوت است
۱- برای یک…"
2285,"RT @seyyedzadehali: الحمدلله همه احساس تکلیف کردندوآمدندوفقط یک نفر با تکلیف مردم وارد صحنه انتخابات شد.
تا الان صحنه رقابت به این شکل است…"
2286,"RT @DTehrany: یعنی میشه ؟! 
یعنی میشه این توییت هم فیواستار بشه ؟! 
#رای_بی_رای https://t.co/u3mACcPqZP"
2287,@alidaneshmand_4 @ali_bitarafan4 یک میلیون بار ریتوییت
2288,RT @odakbari: محسن رضایی معتقده باید ساختار دولت اصلاح بشه. با این ساختار فعلی نمیشه معجزه ای کرد. باید ساختار پویا و کارآمد جدیدی به وجود…
2289,RT @nafis_second: کار ندارمEXOازSM میره یانه،گروهی یاتکی،کی اول میره کی اخر،کی میمونه کی نمیمونه،فقط امیدوارم اگریکی رفت بقیه موندن یابرعکس…
2290,@DarrenSchawn عه ایول‌. پس بیا حتما. اکانت داری؟
2291,@ali__politics ایشان خیلی به رهبری نزدیکند،مشاورعالی هستند
2292,در صورت حذف مردمی ترین کاندیدا توسط شورای نگهبان، انتخابات را فاقد ویژگی دموکراسی و مردم سالاری میدانم و در آن شرکت… https://t.co/h9B66L2pzt
2293,"@dr_jahell ان شالله
ما همه با هم هستیم ✌"
2294,@ir_aref شما که احساس خطر دارید در مجلس که بودید چرا کاری نکردید و بسیار ساکت بودید ؟
2295,RT @Mimalamjz: وای رئیسی کاندیدا شد!!!! اگه رئیس‌جمهور بشه هممون رو با خشونت اعدام می‌کنه، بریم به تاج‌زاده رای بدیم که حداقل موقع اعدام آه…
2296,یعنی انقدر باید تیم تبلیغاتی فَشَل باشه؟! تعداد شاخه گل زوج رو برای سرقبر می‌برن :))
2297,"RT @HajAmin193: حواست باشه از این به بعد هرکدوم از حق ها رو بزنی ناخودآگاه رفتی تو جبهه باطل 
چه بخوای چه نخوای 
#وحدت_برای_مردم https://t.…"
2298,"#تازه
ملا منان #نیازی، معاون سیاسی گروه #طالبان، که در درگیری چند روز قبل در #هرات زخم برداشته بود، جان باخت.… https://t.co/fR3szVh9de"
2299,@faridmodaresi ولی نمایش جهانگیری با بازیگری بسیار قوی و زیر پوستی استاد مظلوم نمایی و دیالوگ قدیمی فوق العاده «مرد… https://t.co/PNPjyhHWUY
2300,@Fatemeh13840 به یه شستن نیاز داشت چرا ساکت موندی😂 https://t.co/1pcmjgUFoq
2301,"RT @DrSaeedJalili: نباید راه حل های تک بعدی و دوقطبی های کاذب جایگزین راه حل های جامع شود.

تجربه تلخ ۸ سال گذشته؛ راه حل های تک بعدی و معط…"
2302,"سید محرومان آمد مشکلات ما فقط به دست شما حل خواهد شد
#رئیسی_متشکریم https://t.co/93DA0xUSWN"
2303,"@farhadestan زیادی حق میگی
خیلی زیادی"
2304,RT @Mojtabamansou12: هرکسی وظیفه ای دارد.#احمدی_نژاد از گذشته تاامروزبرای #مامردم جنگیدوهستیش راگذاشت.اکنون هم بخاطر #اصراروخواهش ماشرکت کر…
2305,#یا احمدی یا هیچ احدی
2306,"نه میخوام بمیرم نه میخوام زنده باشم
کلی دلیل هست واسه زنده موندن و همزمان کلیم دلیل دارم برا مردن دارم"
2307,RT @Heydar58094043: در گفتمان اقتصادی محسن رضایی خوداتكايي  يعني اینکه روي پاي خود بايستيم تا بتوانيم داد و ستد پايدار و با عزت داشته باشيم…
2308,"RT @ali_shahbazi_am: بهترین راه حل برای عبور از مشکلات، این است که کم‌تر حرف زده و بیشتر اقدام کنیم.
#اقدام_و_تحول
 #آقامحسن_ایران 
#محسن_ر…"
2309,"بو دا هر دوره صبت نام ائلیر
بیزی سریب لاپ =)))"
2310,"RT @tahaa1399: حالا که هیچ کس هیچ کاری نکرد با آن همه شعار بگذارید محسن رضایی اقدام کند بی هیچ شعاری
#اقدام_و_تحول
#آقامحسن_ایران 
#محسن_رض…"
2311,"RT @SalehiSetin: محسن رضایی : برای کاهش فاصله پیشرفت کشور و زندگی مردم باید اختیارات استان ها را افزایش داد.
#اقدام_و_تحول
#آقامحسن_ایران…"
